ExplicitMaxout parameters: 90,965,808
Class 68 (pretrain 8556): AUROC=0.534, AP=0.006, positives=87.0
Class 69 (pretrain 8569): AUROC=0.631, AP=0.023, positives=162.0
Class 70 (pretrain 8567): AUROC=0.555, AP=0.003, positives=14.0
Class 71 (pretrain 8576): AUROC=0.670, AP=0.056, positives=239.0
Class 72 (pretrain 8577): AUROC=0.809, AP=0.088, positives=94.0
Class 73 (pretrain 6572): AUROC=0.635, AP=0.006, positives=21.0
Class 74 (pretrain 13612): AUROC=0.608, AP=0.061, positives=370.0
Class 75 (pretrain 13626): AUROC=0.621, AP=0.000, positives=2.0
Class 76 (pretrain 13639): AUROC=0.706, AP=0.132, positives=245.0
Class 77 (pretrain 3886): AUROC=0.783, AP=0.185, positives=311.0
Class 78 (pretrain 13448): AUROC=0.841, AP=0.261, positives=185.0
Class 79 (pretrain 10128): AUROC=0.811, AP=0.235, positives=109.0
Class 80 (pretrain 2435): AUROC=0.676, AP=0.113, positives=785.0
Class 81 (pretrain 8537): AUROC=0.726, AP=0.243, positives=613.0
Class 82 (pretrain 331): AUROC=0.331, AP=0.017, positives=376.0
Class 83 (pretrain 5172): AUROC=0.177, AP=0.000, positives=4.0
Class 84 (pretrain 5171): AUROC=0.711, AP=0.420, positives=2278.0
Class 85 (pretrain 5175): AUROC=0.842, AP=0.494, positives=415.0
Class 86 (pretrain 3336): AUROC=0.418, AP=0.135, positives=21.0
Class 87 (pretrain 10492): AUROC=0.600, AP=0.057, positives=166.0
Class 88 (pretrain 14196): AUROC=0.005, AP=0.000, positives=1.0
Class 89 (pretrain 8457): AUROC=0.708, AP=0.049, positives=21.0
Class 90 (pretrain 9342): AUROC=0.531, AP=0.001, positives=9.0
Class 91 (pretrain 3492): AUROC=0.814, AP=0.331, positives=74.0
Class 92 (pretrain 5982): AUROC=0.745, AP=0.010, positives=60.0
Class 93 (pretrain 10847): AUROC=0.975, AP=0.004, positives=2.0
Class 94 (pretrain 13808): AUROC=0.702, AP=0.033, positives=123.0
Class 95 (pretrain 13811): AUROC=0.471, AP=0.000, positives=2.0
Class 96 (pretrain 10602): AUROC=0.817, AP=0.036, positives=127.0
Class 97 (pretrain 10606): AUROC=0.717, AP=0.004, positives=26.0
Class 98 (pretrain 6915): AUROC=0.988, AP=0.005, positives=1.0
Class 99 (pretrain 6922): AUROC=0.767, AP=0.565, positives=1688.0
Class 100 (pretrain 8495): AUROC=0.990, AP=0.037, positives=2.0
Class 101 (pretrain 7738): AUROC=0.536, AP=0.004, positives=21.0
Class 102 (pretrain 12152): AUROC=0.597, AP=0.048, positives=33.0
Class 103 (pretrain 12673): AUROC=0.641, AP=0.009, positives=61.0
Class 104 (pretrain 8429): AUROC=0.912, AP=0.452, positives=100.0
Class 105 (pretrain 1369): AUROC=0.792, AP=0.014, positives=44.0
Class 106 (pretrain 1374): AUROC=0.309, AP=0.001, positives=22.0
Class 107 (pretrain 11812): AUROC=0.705, AP=0.110, positives=246.0
Class 108 (pretrain 7213): AUROC=0.926, AP=0.764, positives=1046.0
Class 109 (pretrain 3280): AUROC=0.907, AP=0.484, positives=53.0
Class 110 (pretrain 10478): AUROC=0.721, AP=0.008, positives=5.0
Class 111 (pretrain 9233): AUROC=0.480, AP=0.000, positives=1.0
Class 112 (pretrain 6833): AUROC=0.740, AP=0.122, positives=34.0
Class 113 (pretrain 9564): AUROC=0.877, AP=0.564, positives=655.0
Class 114 (pretrain 9561): AUROC=0.486, AP=0.004, positives=66.0
Class 115 (pretrain 9574): AUROC=0.880, AP=0.485, positives=732.0
Class 116 (pretrain 2151): AUROC=0.852, AP=0.659, positives=2015.0
Class 117 (pretrain 2168): AUROC=0.760, AP=0.411, positives=1487.0
Class 118 (pretrain 3924): AUROC=0.795, AP=0.002, positives=10.0
Class 119 (pretrain 14097): AUROC=0.714, AP=0.119, positives=446.0
Class 120 (pretrain 14070): AUROC=0.933, AP=0.158, positives=233.0
Class 121 (pretrain 14094): AUROC=0.782, AP=0.695, positives=6167.0
Class 122 (pretrain 4958): AUROC=0.552, AP=0.001, positives=12.0
Class 123 (pretrain 11226): AUROC=0.844, AP=0.486, positives=501.0
Class 124 (pretrain 11228): AUROC=0.804, AP=0.207, positives=14.0
Class 125 (pretrain 1926): AUROC=0.573, AP=0.040, positives=183.0
Class 126 (pretrain 1918): AUROC=0.904, AP=0.120, positives=39.0
Class 127 (pretrain 5791): AUROC=0.129, AP=0.000, positives=2.0
Class 128 (pretrain 3834): AUROC=0.838, AP=0.578, positives=584.0
Class 129 (pretrain 12257): AUROC=0.708, AP=0.061, positives=160.0
Class 130 (pretrain 12262): AUROC=0.726, AP=0.170, positives=280.0
Class 131 (pretrain 13392): AUROC=0.920, AP=0.183, positives=207.0
